"SITE_ID","DATE"
"TR010",2015-01-29
"TR010",2015-02-07
"TR010",2015-02-07
"TR010",2015-02-07
"TR010",2015-02-07
"TR010",2015-02-07
"TR010",2015-02-07
"TR010",2015-02-07
"TR010",2015-02-07
"TR010",2015-02-25
"TR010",2015-02-25
"TR010",2015-02-25
"TR010",2015-02-25
"TR010",2015-02-25
"TR010",2015-02-25
"TR010",2015-03-05
"TR010",2015-03-05
"TR010",2015-03-05
"TR010",2015-03-05
"TR010",2015-03-05
"TR010",2015-03-05
"TR010",2015-03-05
"TR010",2015-03-24
"TR010",2015-03-24
"TR010",2015-03-24
"TR010",2015-03-24
"TR010",2015-03-24
"TR010",2015-03-24
"TR010",2015-03-24
"TR010",2015-03-24
"TR010",2015-03-24
"TR010",2015-03-24
"TR010",2015-03-24
"TR010",2015-03-24
"TR010",2015-03-24
"TR010",2015-03-24
"TR010",2015-04-07
"TR010",2015-04-07
"TR010",2015-04-07
"TR010",2015-04-07
"TR010",2015-04-07
"TR010",2015-04-07
"TR010",2015-04-07
"TR010",2015-04-07
"TR010",2015-04-07
"TR010",2015-04-07
"TR010",2015-04-07
"TR010",2015-04-07
"TR010",2015-04-07
"TR010",2015-04-07
"TR010",2015-04-07
"TR010",2015-04-07
"TR010",2015-04-07
"TR010",2015-04-07
"TR010",2015-04-07
"TR010",2015-04-07
"TR010",2015-04-07
"TR010",2015-04-07
"TR010",2015-04-25
"TR010",2015-04-25
"TR010",2015-04-25
"TR010",2015-04-25
"TR010",2015-04-25
"TR010",2015-04-25
"TR010",2015-04-25
"TR010",2015-04-25
"TR010",2015-04-25
"TR010",2015-04-25
"TR010",2015-04-25
"TR010",2015-05-04
"TR010",2015-05-04
"TR010",2015-05-04
"TR010",2015-05-04
"TR010",2015-05-04
"TR010",2015-05-04
"TR010",2015-05-04
"TR010",2015-05-04
"TR010",2015-05-17
"TR010",2015-05-17
"TR010",2015-06-07
"TR010",2015-06-07
"TR010",2015-06-07
"TR010",2015-06-07
"TR010",2015-06-18
"TR010",2015-06-18
"TR010",2015-10-19
"TR010",2015-10-19
"TR010",2015-11-13
"TR010",2015-11-13
"TR010",2015-11-28
"TR010",2015-11-28
"TR010",2015-11-28
"TR010",2015-11-28
"TR010",2015-12-24
"TR010",2015-12-24
"TR010",2016-01-05
"TR010",2016-01-05
"TR010",2016-01-22
"TR010",2016-01-22
"TR010",2016-01-22
"TR010",2016-01-22
"TR010",2016-01-22
"TR010",2016-01-22
"TR010",2016-01-22
"TR010",2016-02-12
"TR010",2016-02-12
"TR010",2016-02-12
"TR010",2016-02-12
"TR010",2016-02-12
"TR010",2016-02-12
"TR010",2016-02-12
"TR010",2016-02-12
"TR010",2016-02-12
"TR010",2016-02-12
"TR010",2016-02-12
"TR010",2016-02-12
"TR010",2016-02-12
"TR010",2016-02-12
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-02-26
"TR010",2016-03-07
"TR010",2016-03-07
"TR010",2016-03-07
"TR010",2016-03-07
"TR010",2016-03-07
"TR010",2016-03-07
"TR010",2016-03-07
"TR010",2016-03-07
"TR010",2016-03-24
"TR010",2016-03-24
"TR010",2016-03-24
"TR010",2016-03-24
"TR010",2016-03-24
"TR010",2016-03-24
"TR010",2016-03-24
"TR010",2016-03-24
"TR010",2016-03-24
"TR010",2016-04-08
"TR010",2016-04-08
"TR010",2016-04-08
"TR010",2016-04-08
"TR010",2016-04-08
"TR010",2016-04-08
"TR010",2016-04-08
"TR010",2016-04-08
"TR010",2016-05-01
"TR010",2016-05-01
"TR010",2016-05-01
"TR010",2016-05-01
"TR010",2016-05-25
"TR010",2016-05-25
"TR010",2016-06-06
"TR010",2016-10-22
"TR010",2016-11-06
"TR010",2016-11-06
"TR010",2016-11-20
"TR010",2017-02-05
"TR010",2017-02-05
"TR010",2017-02-05
"TR010",2017-02-20
"TR010",2017-02-20
"TR010",2017-02-20
"TR010",2017-02-20
"TR010",2017-02-20
"TR010",2017-02-20
"TR010",2017-03-08
"TR010",2017-03-08
"TR010",2017-03-08
"TR010",2017-03-08
"TR010",2017-03-08
"TR010",2017-03-08
"TR010",2017-03-08
"TR010",2017-03-27
"TR010",2017-03-27
"TR010",2017-04-16
"TR010",2017-04-16
"TR010",2017-04-16
"TR010",2017-05-01
"TR010",2017-05-01
"TR010",2017-05-12
"TR010",2017-05-12
"TR010",2017-05-12
"TR010",2017-05-12
"TR010",2017-05-12
"TR010",2017-06-02
"TR010",2017-06-02
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
