DATE,DAY,MONTH,YEAR,SITE_ID,SPECIES,COUNT
29/01/2015,29,1,2015,TR010,44,1
05/03/2015,5,3,2015,TR010,44,1
07/04/2015,7,4,2015,TR010,44,1
07/04/2015,7,4,2015,TR010,44,1
07/06/2015,7,6,2015,TR010,44,1
24/12/2015,24,12,2015,TR010,44,1
05/01/2016,5,1,2016,TR010,44,1
12/02/2016,12,2,2016,TR010,44,1
12/02/2016,12,2,2016,TR010,44,1
26/02/2016,26,2,2016,TR010,44,1
26/02/2016,26,2,2016,TR010,44,1
26/02/2016,26,2,2016,TR010,44,1
26/02/2016,26,2,2016,TR010,44,1
26/02/2016,26,2,2016,TR010,44,2
26/02/2016,26,2,2016,TR010,44,1
07/03/2016,7,3,2016,TR010,44,1
07/03/2016,7,3,2016,TR010,44,1
07/03/2016,7,3,2016,TR010,44,1
12/05/2017,12,5,2017,TR010,44,1
15/01/2016,15,1,2016,TR042,44,1
07/11/2016,7,11,2016,TR042,44,1
12/11/2016,12,11,2016,TR042,44,1
12/11/2016,12,11,2016,TR042,44,3
12/11/2016,12,11,2016,TR042,44,1
04/12/2016,4,12,2016,TR042,44,3
04/12/2016,4,12,2016,TR042,44,5
04/12/2016,4,12,2016,TR042,44,11
04/12/2016,4,12,2016,TR042,44,3
14/02/2017,14,2,2017,TR042,44,2
14/02/2017,14,2,2017,TR042,44,1
28/02/2017,28,2,2017,TR042,44,1
08/11/2016,8,11,2016,TR067,44,1
21/11/2016,21,11,2016,TR067,44,2
24/04/2017,24,4,2017,TR067,44,1
26/11/2016,26,11,2016,TR068,44,1
26/11/2016,26,11,2016,TR068,44,1
26/11/2016,26,11,2016,TR068,44,2
10/12/2016,10,12,2016,TR068,44,2
10/12/2016,10,12,2016,TR068,44,2
31/12/2016,31,12,2016,TR068,44,2
18/02/2017,18,2,2017,TR068,44,1
01/04/2017,1,4,2017,TR068,44,1
16/04/2017,16,4,2017,TR068,44,1
27/10/2016,27,10,2016,TR073,44,1
27/10/2016,27,10,2016,TR073,44,1
27/10/2016,27,10,2016,TR073,44,2
08/11/2016,8,11,2016,TR073,44,1
08/11/2016,8,11,2016,TR073,44,1
13/11/2016,13,11,2016,TR073,44,1
10/11/2016,10,11,2016,TR075,44,1
22/11/2016,22,11,2016,TR075,44,1
22/11/2016,22,11,2016,TR075,44,1
19/10/2015,19,10,2015,TR056,44,1
12/02/2016,12,2,2016,TR056,44,1
26/02/2016,26,2,2016,TR056,44,1
26/02/2016,26,2,2016,TR056,44,1
26/02/2016,26,2,2016,TR056,44,1
26/02/2016,26,2,2016,TR056,44,1
07/03/2016,7,3,2016,TR056,44,3
07/03/2016,7,3,2016,TR056,44,1
07/03/2016,7,3,2016,TR056,44,1
07/03/2016,7,3,2016,TR056,44,1
08/04/2016,8,4,2016,TR056,44,1
20/11/2016,20,11,2016,TR056,44,5
20/11/2016,20,11,2016,TR056,44,2
20/11/2016,20,11,2016,TR056,44,2
20/11/2016,20,11,2016,TR056,44,1
20/11/2016,20,11,2016,TR056,44,1
11/12/2016,11,12,2016,TR056,44,1
11/12/2016,11,12,2016,TR056,44,1
08/03/2017,8,3,2017,TR056,44,1
30/04/2015,30,4,2015,TR055,44,1
30/04/2015,30,4,2015,TR055,44,1
16/02/2016,16,2,2016,TR055,44,1
16/02/2016,16,2,2016,TR055,44,1
10/11/2016,10,11,2016,TR055,44,1
17/11/2016,17,11,2016,TR055,44,1
10/04/2017,10,4,2017,TR055,44,1
28/10/2016,28,10,2016,TR009,44,2
28/10/2016,28,10,2016,TR009,44,1
28/10/2016,28,10,2016,TR009,44,1
19/11/2016,19,11,2016,TR009,44,3
